Category,Materials/binder,Pure/Mixture,Second component in mixtures,More mixted,Third component in mixtures,Label in GT,R,G,B,,,
Pigment in mock-ups,Calcite - Egg white,,,,,88,197,175,125,,,
Pigment in mock-ups,Cinnabar - Egg white,,,,,89,191,42,68,,,
Pigment in mock-ups,Hematite - Egg white,,,,,90,182,55,43,,,
Pigment in mock-ups,Minium - Egg white,,,,,91,225,163,50,,,
Pigment in mock-ups,Orpiment - Egg white,,,,,92,181,141,100,,,
Pigment in mock-ups,Lead-tin yellow - Egg white,,,,,93,153,133,43,,,
Pigment in mock-ups,Malachite - Egg white,,,,,94,172,192,50,,,
Pigment in mock-ups,Verdigris - Egg white,,,,,95,122,165,24,,,
Pigment in mock-ups,Yellow ochre - Egg white,,,,,96,65,75,30,,,
Pigment in mock-ups,Burnt umber - Egg white,,,,,97,140,105,43,,,
Pigment in mock-ups,Grape black - Egg white,,,,,98,90,55,55,,,
Pigment in mock-ups,Azurite - Egg white,mixture,Lead white - Egg white,,,99,75,200,210,,,
Pigment in mock-ups,Lead-tin yellow - Egg white,mixture,Lead white - Egg white,,,100,193,173,83,,,
Pigment in mock-ups,Malachite - Egg white,mixture,Lead white - Egg white,,,101,212,232,90,,,
Pigment in mock-ups,Verdigris - Egg white,mixture,Lead white - Egg white,,,102,162,205,64,,,
Pigment in mock-ups,Cinnabar - Egg white,mixture,Lead white - Egg white,,,103,231,82,108,,,
Pigment in mock-ups,Grape black - Egg white,mixture,Lead white - Egg white,,,104,130,95,95,,,
Pigment in mock-ups,Minium - Egg white,mixture,Lead-tin yellow - Egg white,,,105,183,133,90,,,
Pigment in mock-ups,Cinnabar - Egg white,mixture,Lead-tin yellow - Egg white,mixture,Lead white - Egg white,106,231,185,130,,,
Pigment in mock-ups,Carmine - Gum arabic,,,,,107,175,65,87,,,
Pigment in mock-ups,Gamboge - Gum arabic,,,,,108,155,175,42,,,
Pigment in mock-ups,Imperial yellow ink - Gum arabic,,,,,109,235,215,29,,,
Pigment in mock-ups,Saffron - Gum arabic,mixture,Gamboge - Gum arabic,,,110,249,217,65,,,
Pigment in mock-ups,Carmine - Gum arabic,mixture,Gamboge - Gum arabic,,,111,221,115,50,,,
Pigment in mock-ups,Gamboge - Gum arabic,mixture,Azurite - Gum arabic,,,112,85,210,37,,,
Pigment in mock-ups,Carmine - Gum arabic,mixture,Lead white - Gum arabic,,,113,215,105,127,,,
Pigment in mock-ups,Indigo - Gum arabic,mixture,Orpiment - Gum arabic,,,114,37,99,53,,,
Pigment in mock-ups,Gamboge - Gum arabic,mixture,Malachite - Gum arabic,,,115,17,139,86,,,
Pigment in mock-ups,Gamboge - Gum arabic,mixture,Verdigris - Gum arabic,,,116,67,199,46,,,
Pigment in mock-ups,Saffron - Gum arabic,,,,,117,251,197,5,,,
Pigment in mock-ups,Saffron - no binder,,,,,118,231,177,25,,,
Pigment in mock-ups,Saffron with alum - Gum arabic,,,,,119,157,112,45,,,
