Wavelength_nm,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
2519.136056,0.299643,0.025233,0.30662,0.771715,0.314903,0.0538429,0.329489,0.572216,0.00639394,0.230338,0.259249,0.407275,0.28075,0.350812,0.357796,0.0927501,0.261709,0.428758,0.200724,0.2445,0.0348953,0.191413,0.322381,0.173306,0.531223,0.38284,0.0110374,0.130994,0.109969,0.12019,0.192153,0.686206,0.683914
2520.319305,0.302978,0.0252364,0.305047,0.771003,0.31015,0.0548811,0.327336,0.572353,0.00590597,0.228417,0.25702,0.408262,0.280817,0.349764,0.35825,0.091214,0.262282,0.425012,0.202389,0.245456,0.0343624,0.189944,0.32214,0.173198,0.532835,0.379299,0.00985442,0.128896,0.1096,0.116926,0.188345,0.685105,0.680749
2521.503665,0.305355,0.0262088,0.304635,0.771229,0.308912,0.0568472,0.325942,0.571259,0.00623681,0.228648,0.256324,0.408541,0.280893,0.35,0.358882,0.0916282,0.263143,0.423481,0.202748,0.246254,0.0334735,0.188818,0.321699,0.172516,0.53413,0.377914,0.00909704,0.127302,0.110146,0.116474,0.185175,0.682309,0.678993
2522.68914,0.3067,0.0270371,0.302839,0.771474,0.309488,0.0584365,0.32457,0.56975,0.0076599,0.22886,0.255765,0.407343,0.279423,0.348492,0.358692,0.0921493,0.264421,0.424007,0.202306,0.244679,0.0328769,0.186347,0.321411,0.170802,0.534943,0.375629,0.00834844,0.126061,0.10872,0.116028,0.182386,0.678595,0.676594
2523.875729,0.307743,0.0271188,0.299164,0.771294,0.311623,0.0591981,0.324175,0.568508,0.00975166,0.228997,0.25538,0.406072,0.27842,0.345836,0.358781,0.0917653,0.265785,0.425939,0.20298,0.241227,0.0342585,0.184193,0.321552,0.168159,0.53669,0.374577,0.00766848,0.126184,0.106366,0.116203,0.179914,0.674345,0.673403
2525.063435,0.307857,0.0263817,0.29488,0.769429,0.312787,0.0604625,0.323029,0.566673,0.0104933,0.229256,0.251994,0.405017,0.276957,0.342414,0.359643,0.0906054,0.266969,0.42626,0.203623,0.237293,0.0349104,0.182106,0.321404,0.166323,0.537553,0.374506,0.00776662,0.126844,0.103924,0.11621,0.176474,0.667148,0.665298
2526.25226,0.30732,0.0261811,0.293158,0.768752,0.31194,0.062766,0.32246,0.566,0.0106527,0.229829,0.248422,0.404157,0.27613,0.339418,0.360475,0.090641,0.268739,0.426348,0.204542,0.234807,0.0350891,0.181373,0.321352,0.165654,0.537446,0.376067,0.00866613,0.127836,0.101157,0.116793,0.175432,0.658038,0.656315
2527.442204,0.306155,0.0253783,0.290966,0.768724,0.310076,0.0647073,0.321123,0.565103,0.0105706,0.229293,0.24591,0.403205,0.273734,0.334806,0.359138,0.0904289,0.27009,0.425418,0.204129,0.231781,0.0345791,0.180845,0.320944,0.164338,0.535602,0.376788,0.00940429,0.127865,0.09634,0.115739,0.175655,0.645575,0.64557
2528.63327,0.304745,0.0245884,0.289377,0.769462,0.309111,0.0660744,0.321346,0.563376,0.0105738,0.22845,0.246063,0.403377,0.27145,0.331495,0.357471,0.08862,0.270386,0.424426,0.203286,0.22956,0.0338523,0.182119,0.320426,0.16388,0.533603,0.379893,0.0104323,0.127765,0.0942305,0.114193,0.175395,0.633783,0.633281
2529.82546,0.302384,0.0231239,0.287961,0.769471,0.307328,0.0666123,0.320604,0.561688,0.0101506,0.226863,0.246621,0.403783,0.268922,0.329126,0.356558,0.0863041,0.270193,0.42221,0.201629,0.227404,0.0325747,0.183297,0.319723,0.163331,0.53145,0.380843,0.0109823,0.127282,0.0926071,0.111812,0.173476,0.623499,0.620338
