Wavenumbers,AZURITE EF Glair,AZURITE EF GA,BUCKTHORN Pure,BURNT UMBER Glair,BURNT UMBER GA,CALCITE Glair,CALCITE GA,CARMINE GA,CINNABAR Glair,CINNABAR GA,GAMBOGE GA,HEMATITE Glair,INDIGO GA,INDIAN YELLOW INK,LAPISLAZULI Glair,LAPISLAZULI GA,LEAD TIN YELLOW Glair,LEAD TIN YELLOW GA,LEAD WHITE Glair,LEAD WHITE GA,MINIUM Glair,MINIUM GA,MALACHITE Glair,MALACHITE GA,YELLOW OCKER Glair,YELLOW OCKER GA,ORPIMENT Glair,ORPIMENT GA,SAFFRON GA,SMALT Glair,SMALT GA,VERDIGRIS Glair,VERDIGRIS GA
3999.43359375,0.285848006606102,0.0129887312650681,0.312896057963371,0.76611202955246,0.337957233190536,0.053237646818161,0.337474435567856,0.576100125908852,0.000966548919677734,0.23783266544342,0.264795333147049,0.39576181769371,0.284998953342438,0.359406441450119,0.353488191962242,0.111854255199432,0.252788171172142,0.449946790933609,0.20915624499321,0.249130964279175,0.0244273096323013,0.191822856664658,0.325572907924652,0.188243627548218,0.53860804438591,0.409494400024414,0.00197409093379974,0.129564642906189,0.112331703305244,0.144909366965294,0.221109330654144,0.676907271146774,0.67999005317688
3997.5699247892,0.28238970041275,0.0154091864824295,0.309566453099251,0.769367426633835,0.333551496267319,0.0516875237226486,0.333952814340591,0.574723616242409,0.00413154065608978,0.23511902987957,0.274246007204056,0.394360959529877,0.284184455871582,0.360428243875504,0.352264329791069,0.110560536384583,0.25656858086586,0.44149523973465,0.210631966590881,0.248647689819336,0.0248547494411469,0.193736851215363,0.328773066401482,0.187374711036682,0.536206305027008,0.403102517127991,0.00963714718818665,0.131537050008774,0.107605144381523,0.149467915296555,0.217973858118057,0.677951097488403,0.681308209896088
3995.7062558284,0.280035391449928,0.0169273614883423,0.307316720485687,0.771976739168167,0.334288328886032,0.0527184158563614,0.331141740083694,0.572952523827553,0.00656649470329285,0.237838551402092,0.274690359830856,0.394140303134918,0.28398334980011,0.361700892448425,0.351102918386459,0.107474252581596,0.259465381503105,0.435072660446167,0.209253251552582,0.250663071870804,0.0260034054517746,0.193311870098114,0.332575127482414,0.186974674463272,0.535704106092453,0.399849981069565,0.0160651952028275,0.133280158042908,0.104032263159752,0.150696486234665,0.214965924620628,0.678151726722717,0.678973764181137
3993.8425868676,0.282195895910263,0.0186693072319031,0.308068498969078,0.766282200813293,0.329287856817245,0.0549100935459137,0.331126511096954,0.573269739747047,0.00409784913063049,0.236065953969955,0.268905520439148,0.398313462734222,0.284976094961166,0.366581350564957,0.353548347949982,0.104509502649307,0.256111860275269,0.439817994832993,0.201781332492828,0.250406980514526,0.0269764512777328,0.191678613424301,0.331211283802986,0.185005158185959,0.53708827495575,0.392032712697983,0.0139706879854202,0.138605237007141,0.102978184819221,0.145592749118805,0.213904827833176,0.673053920269012,0.666963070631027
3991.9789179068,0.284114167094231,0.0186629593372345,0.307747587561607,0.768008977174759,0.320640295743942,0.0548776388168335,0.328099280595779,0.575313374400139,0.00513458251953125,0.2340037971735,0.268631190061569,0.401589602231979,0.286807000637054,0.366489946842194,0.355362787842751,0.102594494819641,0.253630310297012,0.440279215574265,0.199566006660461,0.250590711832047,0.026332288980484,0.190648764371872,0.329241693019867,0.183224946260452,0.537566781044006,0.392496526241302,0.00831106305122375,0.136247128248215,0.110571071505547,0.140657588839531,0.215006321668625,0.667382627725601,0.665508359670639
3990.115248946,0.285303518176079,0.0171179920434952,0.310759231448174,0.76994052529335,0.323169201612473,0.0559680312871933,0.329327166080475,0.57659687101841,0.00545267760753632,0.230884000658989,0.26751384139061,0.401722282171249,0.287890523672104,0.365711480379105,0.354701206088066,0.100005239248276,0.252318724989891,0.440546989440918,0.201742678880692,0.249143064022064,0.0260406732559204,0.189290076494217,0.328776881098747,0.184170186519623,0.534189701080322,0.389891922473907,0.00754980742931366,0.134977668523788,0.111424341797829,0.133544161915779,0.213196009397507,0.666629284620285,0.66585585474968
3988.2515799852,0.285081163048744,0.0173338204622269,0.313995063304901,0.772378772497177,0.324687212705612,0.0553522557020187,0.331150531768799,0.574746504426003,0.00687101483345032,0.231223240494728,0.267527014017105,0.400858461856842,0.285871684551239,0.367925435304642,0.354559883475304,0.101089194417,0.253293737769127,0.442798316478729,0.203114032745361,0.250719219446182,0.0259876698255539,0.192342728376389,0.328294292092323,0.183415830135345,0.531745940446854,0.390935033559799,0.00898627936840057,0.134628474712372,0.111454620957375,0.134989619255066,0.211605951189995,0.665965467691422,0.668596774339676
3986.3879110244,0.285369113087654,0.0176054388284683,0.312983840703964,0.774072021245956,0.328592598438263,0.0547593384981155,0.331371277570724,0.571980461478233,0.00829373300075531,0.23236383497715,0.268210589885712,0.399518966674805,0.282959938049316,0.365488320589066,0.352648973464966,0.103051736950874,0.253708019852638,0.447099179029465,0.203995406627655,0.248850584030151,0.0287137031555176,0.192493736743927,0.327676698565483,0.180921524763107,0.530699640512466,0.393704861402512,0.0106181651353836,0.135194882750511,0.11121042072773,0.136527553200722,0.209910362958908,0.667513430118561,0.670723170042038
3984.5242420636,0.286144182085991,0.0175034254789352,0.313636407256126,0.775191575288773,0.330475986003876,0.0550050884485245,0.331723570823669,0.570851072669029,0.008562833070755,0.233653798699379,0.265913188457489,0.399436265230179,0.282056093215942,0.364928811788559,0.352890282869339,0.103035509586334,0.254163950681686,0.447574615478516,0.20402991771698,0.24754011631012,0.031110018491745,0.192682296037674,0.326773166656494,0.179804861545563,0.530507564544678,0.39672639966011,0.0112381279468536,0.135252475738525,0.111895993351936,0.136632412672043,0.208007484674454,0.669243663549423,0.671211451292038
3982.66057310279,0.286234870553017,0.0175354331731796,0.313896179199219,0.775390356779099,0.330794274806976,0.0547160059213638,0.330843985080719,0.57054640352726,0.00860421359539032,0.23290827870369,0.26449128985405,0.398682981729507,0.280157864093781,0.362844377756119,0.352677792310715,0.103316873311996,0.255353301763535,0.445638924837112,0.203180968761444,0.245561152696609,0.0327858924865723,0.192512631416321,0.325722381472588,0.177691876888275,0.528506100177765,0.396822035312653,0.0114711076021194,0.134821504354477,0.110835090279579,0.136858150362968,0.206647872924805,0.668929725885391,0.672912240028381
3980.79690414199,0.286215111613274,0.0181579291820526,0.313571467995644,0.776851236820221,0.331809431314468,0.0538923740386963,0.332267493009567,0.569957628846169,0.0095086395740509,0.233376890420914,0.264965206384659,0.398712545633316,0.280108779668808,0.360234320163727,0.352126002311707,0.103258445858955,0.257639467716217,0.442819625139236,0.203036844730377,0.244172781705856,0.0344545096158981,0.193907618522644,0.325451269745827,0.176449626684189,0.526146441698074,0.397343099117279,0.0131192803382874,0.134503245353699,0.110664829611778,0.136702716350555,0.20557676255703,0.670955926179886,0.677905976772308
3978.93323518119,0.286628857254982,0.0189288109540939,0.312445431947708,0.777510672807693,0.333130925893784,0.0533484071493149,0.332826912403107,0.569692254066467,0.00953245162963867,0.234820425510406,0.263486087322235,0.399464786052704,0.279427975416183,0.358449578285217,0.351157039403915,0.102485477924347,0.259006276726723,0.44005274772644,0.20116114616394,0.242511034011841,0.0355041772127151,0.194979131221771,0.325622230768204,0.17552176117897,0.525065541267395,0.397312462329865,0.0144995748996735,0.133353710174561,0.109830603003502,0.135094866156578,0.202587157487869,0.674435168504715,0.679480493068695
3977.06956622039,0.288049444556236,0.0199674665927887,0.311876371502876,0.776216983795166,0.333258002996445,0.0531731247901917,0.333125680685043,0.570264980196953,0.00914648175239563,0.235394790768623,0.264358252286911,0.401227802038193,0.279106140136719,0.358260869979858,0.351690500974655,0.101344525814056,0.259850978851318,0.438849687576294,0.199798494577408,0.241199254989624,0.0370257645845413,0.196119219064713,0.325258925557137,0.175129920244217,0.525900632143021,0.396799355745316,0.0158389061689377,0.133940890431404,0.108597233891487,0.133124187588692,0.199550122022629,0.679861396551132,0.67998281121254
3975.20589725959,0.290283232927322,0.021434485912323,0.310373440384865,0.773729771375656,0.328806400299072,0.0514962673187256,0.332384258508682,0.570502027869225,0.0085618793964386,0.23458506166935,0.264370709657669,0.403447508811951,0.279913067817688,0.356523096561432,0.352810218930244,0.0997334867715836,0.260633558034897,0.436576247215271,0.198171108961105,0.240152031183243,0.0372508764266968,0.196498483419418,0.323849499225616,0.174414575099945,0.527138441801071,0.393631547689438,0.0153413265943527,0.13453596830368,0.107601627707481,0.130229160189629,0.197731286287308,0.683430910110474,0.680759519338608
3973.34222829879,0.293159261345863,0.0235127359628677,0.308430850505829,0.772973001003265,0.323559552431107,0.0504897683858871,0.332482129335403,0.571186482906342,0.00836759805679321,0.233767092227936,0.262939214706421,0.405669003725052,0.281516462564468,0.354229629039764,0.354451850056648,0.0973960757255554,0.261088252067566,0.434331059455872,0.197686702013016,0.241481870412827,0.0366638749837875,0.195602506399155,0.322874620556831,0.174287378787994,0.528778940439224,0.391179829835892,0.0132490247488022,0.134112283587456,0.108447179198265,0.127411335706711,0.197287783026695,0.685297250747681,0.683413922786713
3971.47855933799,0.295786574482918,0.0249367654323578,0.307176679372787,0.772111624479294,0.318694084882736,0.0517096072435379,0.331350296735764,0.571543380618095,0.00727158784866333,0.232175201177597,0.260195910930634,0.406376987695694,0.280666440725327,0.352050632238388,0.35623374581337,0.0946513712406158,0.260958760976791,0.431138813495636,0.198141843080521,0.243082910776138,0.0355947613716125,0.192958176136017,0.322468623518944,0.173382252454758,0.529855459928513,0.387096375226974,0.01161789894104,0.132521152496338,0.10950730741024,0.124143302440643,0.19522425532341,0.685035645961761,0.684591680765152
3969.61489037719,0.299642965197563,0.0252329558134079,0.306620240211487,0.771714866161346,0.314903199672699,0.0538429170846939,0.329489231109619,0.572216048836708,0.00639393925666809,0.230338364839554,0.259249269962311,0.407274901866913,0.280749827623367,0.35081222653389,0.357795566320419,0.0927501171827316,0.261708900332451,0.428758233785629,0.200724363327026,0.244500041007996,0.0348952561616898,0.191412508487701,0.322380632162094,0.17330601811409,0.531223207712173,0.38283970952034,0.0110373795032501,0.130994111299515,0.109968766570091,0.120190098881721,0.192153126001358,0.686206132173538,0.68391364812851
3967.75122141639,0.302977725863457,0.0252363979816437,0.305047273635864,0.771003097295761,0.310150235891342,0.0548811256885529,0.327335625886917,0.572352647781372,0.00590597093105316,0.228416949510574,0.257020384073257,0.408261507749557,0.280817419290543,0.349763661623001,0.358249962329865,0.0912140309810638,0.262281596660614,0.425011962652206,0.202388733625412,0.245455533266068,0.0343624204397202,0.189943820238113,0.322140380740166,0.173198044300079,0.532834678888321,0.379299104213715,0.00985442101955414,0.128895744681358,0.109600231051445,0.116925701498985,0.188344791531563,0.685105174779892,0.680748701095581
3965.88755245559,0.305355131626129,0.0262087732553482,0.304635137319565,0.771228909492493,0.308912396430969,0.0568472445011139,0.325941950082779,0.571258962154388,0.00623680651187897,0.228647902607918,0.25632381439209,0.408540993928909,0.280893296003342,0.350000381469727,0.358882039785385,0.091628223657608,0.263142839074135,0.423480570316315,0.202748358249664,0.246254056692123,0.0334735363721848,0.188817650079727,0.321699231863022,0.172515898942947,0.534130096435547,0.37791445851326,0.00909703969955444,0.127301961183548,0.110146000981331,0.116474255919456,0.185175195336342,0.682309240102768,0.678992688655853
3964.02388349479,0.306700080633163,0.0270370841026306,0.302839085459709,0.771474301815033,0.309487998485565,0.0584364533424377,0.324570298194885,0.569749891757965,0.00765989720821381,0.228859931230545,0.255764752626419,0.407342702150345,0.279423385858536,0.348492234945297,0.358691975474358,0.0921493470668793,0.264420792460442,0.424006998538971,0.202305793762207,0.244678556919098,0.0328769385814667,0.186347097158432,0.321411177515984,0.17080157995224,0.534942716360092,0.375628560781479,0.00834843516349792,0.126060619950294,0.108720406889915,0.116028487682343,0.182386249303818,0.678594797849655,0.676593631505966
3962.16021453399,0.307742938399315,0.0271187722682953,0.299164086580276,0.771294236183167,0.311622589826584,0.0591980963945389,0.324174523353577,0.568508476018906,0.00975166261196136,0.228997141122818,0.255380302667618,0.406072080135345,0.278420358896255,0.345835655927658,0.35878087580204,0.0917652696371078,0.265785053372383,0.425939202308655,0.202980160713196,0.241227179765701,0.0342585444450378,0.184193164110184,0.321552380919456,0.168159306049347,0.536689668893814,0.374576926231384,0.00766848027706146,0.126183584332466,0.106365785002708,0.116203293204308,0.179914087057114,0.67434549331665,0.673402845859528
3960.29654557319,0.307857111096382,0.0263816863298416,0.294879823923111,0.769429385662079,0.312787055969238,0.060462549328804,0.323029220104218,0.566672667860985,0.0104933083057404,0.229255571961403,0.251993834972382,0.405016601085663,0.27695706486702,0.342413902282715,0.359642699360847,0.0906054079532623,0.266969352960587,0.426260441541672,0.203622788190842,0.237292945384979,0.0349104255437851,0.182105839252472,0.32140439748764,0.166323244571686,0.537552982568741,0.374505817890167,0.00776661932468414,0.12684354186058,0.103924348950386,0.116209521889687,0.17647422850132,0.667147576808929,0.665298253297806
3958.43287661239,0.307320117950439,0.0261811167001724,0.293158233165741,0.768751889467239,0.311939835548401,0.062766045331955,0.322459876537323,0.565999731421471,0.0106526911258698,0.229829251766205,0.248421937227249,0.404156923294067,0.276130139827728,0.339417994022369,0.360474526882172,0.0906410366296768,0.268739134073257,0.426347762346268,0.20454216003418,0.234806656837463,0.0350891053676605,0.181372910737991,0.32135246694088,0.165653586387634,0.537445962429047,0.376067340373993,0.00866612792015076,0.127836003899574,0.101157411932945,0.116793364286423,0.175431564450264,0.658037960529327,0.656314730644226
3956.56920765159,0.306155472993851,0.0253782570362091,0.290966421365738,0.768724083900452,0.310076475143433,0.064707338809967,0.321122914552689,0.565103068947792,0.0105706304311752,0.229293212294579,0.245909780263901,0.403204768896103,0.273734301328659,0.334806114435196,0.359138026833534,0.0904288738965988,0.270089730620384,0.425418317317963,0.204129368066788,0.231780678033829,0.0345791429281235,0.180845022201538,0.320943802595139,0.164337873458862,0.535602331161499,0.376787662506104,0.00940428674221039,0.127864733338356,0.0963400453329086,0.115738734602928,0.175655484199524,0.64557471871376,0.645569980144501
3954.70553869079,0.304745122790337,0.0245883613824844,0.289376750588417,0.769461631774902,0.309111267328262,0.0660744309425354,0.321346372365952,0.563375920057297,0.0105738341808319,0.228449955582619,0.246063441038132,0.403376847505569,0.271450281143188,0.331494867801666,0.357470780611038,0.0886199772357941,0.270385518670082,0.424426436424255,0.203286379575729,0.229559510946274,0.0338523238897324,0.182119250297546,0.32042621076107,0.163879781961441,0.533602654933929,0.379893332719803,0.0104323178529739,0.127764582633972,0.0942305475473404,0.114192947745323,0.175394713878632,0.633782684803009,0.633280634880066
3952.84186972999,0.302383720874786,0.0231239050626755,0.287961184978485,0.769471228122711,0.307327717542648,0.0666122734546661,0.320603728294373,0.561688214540482,0.0101505815982819,0.226862922310829,0.246620684862137,0.403783291578293,0.268922179937363,0.329126060009003,0.356557756662369,0.0863040536642075,0.270192757248878,0.422210365533829,0.201628535985947,0.227403581142426,0.0325746983289719,0.18329718708992,0.319723382592201,0.163331359624863,0.531450420618057,0.380843371152878,0.0109823197126389,0.127282097935677,0.0926071256399155,0.111811861395836,0.173476174473763,0.623498678207397,0.620337814092636
3950.97820076919,0.300169661641121,0.0208888202905655,0.287478134036064,0.768995672464371,0.306202501058578,0.0669472515583038,0.321219801902771,0.560335516929626,0.0104663670063019,0.225476294755936,0.246686607599258,0.403826236724854,0.267409592866898,0.326635122299194,0.356917798519135,0.0842137187719345,0.270348370075226,0.420833349227905,0.20197856426239,0.225681781768799,0.0322698652744293,0.184420824050903,0.319022059440613,0.16317880153656,0.529293298721313,0.380746155977249,0.0120555460453033,0.127818956971169,0.0908561497926712,0.110427364706993,0.171891406178474,0.614338517189026,0.609704166650772
3949.11453180838,0.298562407493591,0.0190057307481766,0.288224577903748,0.767706245183945,0.30297440290451,0.0661714524030685,0.322150707244873,0.557711586356163,0.0100282281637192,0.224224999547005,0.242332249879837,0.403010368347168,0.264811486005783,0.322819411754608,0.356729403138161,0.0815917253494263,0.269643157720566,0.418724805116653,0.202479958534241,0.223568141460419,0.0311998575925827,0.18402823805809,0.318597361445427,0.162170052528381,0.526423633098602,0.376498460769653,0.0113850682973862,0.127880305051804,0.0881955176591873,0.109125524759293,0.170286059379578,0.602988570928574,0.598702728748322
3947.25086284758,0.298141971230507,0.0179370790719986,0.288722351193428,0.768104672431946,0.300148725509644,0.0660048276185989,0.322684824466705,0.555876344442368,0.0088547021150589,0.222831532359123,0.236923098564148,0.402110517024994,0.260944932699203,0.3206866979599,0.356347277760506,0.0801449120044708,0.269332349300385,0.417756021022797,0.203236132860184,0.223465591669083,0.0299309343099594,0.18285059928894,0.319157794117928,0.160281091928482,0.523635059595108,0.372742652893066,0.0106607973575592,0.126909464597702,0.0870824009180069,0.108918130397797,0.169692546129227,0.59076315164566,0.58744752407074
3945.38719388678,0.298027336597443,0.0157284438610077,0.288460046052933,0.769231081008911,0.297801584005356,0.0680919736623764,0.320709049701691,0.555425837635994,0.00811675190925598,0.221188738942146,0.231067985296249,0.401222199201584,0.256343096494675,0.318911552429199,0.355917155742645,0.0792913883924484,0.270238161087036,0.415652900934219,0.203029096126556,0.223455727100372,0.0295638889074326,0.180209755897522,0.319902971386909,0.158362567424774,0.521083533763885,0.370079398155212,0.0104075968265533,0.124723598361015,0.0868066698312759,0.108292266726494,0.167477443814278,0.578957557678223,0.574657768011093
3943.52352492598,0.298589125275612,0.0128721743822098,0.287599787116051,0.770659685134888,0.295896887779236,0.0711373835802078,0.318138003349304,0.556030079722404,0.00858134031295776,0.22029447555542,0.229113757610321,0.401497662067413,0.254117250442505,0.318635165691376,0.355797752737999,0.0790611803531647,0.271921560168266,0.414587885141373,0.20290532708168,0.224307388067245,0.0310021638870239,0.179426312446594,0.320588991045952,0.158424347639084,0.521422207355499,0.368730157613754,0.00942116975784302,0.122332170605659,0.0865476578474045,0.106805354356766,0.164232060313225,0.570458233356476,0.564935028553009
3941.65985596518,0.298930570483208,0.0108476877212524,0.285529911518097,0.771504312753677,0.294482052326202,0.073051780462265,0.314384251832962,0.556286737322807,0.00955589115619659,0.220017328858376,0.226405054330826,0.401442587375641,0.25359120965004,0.318157583475113,0.356070160865784,0.0789321511983871,0.274059325456619,0.413760006427765,0.20111221075058,0.224905788898468,0.0320440530776978,0.178698122501373,0.321151182055473,0.159257143735886,0.522144615650177,0.365895003080368,0.00820223987102509,0.120197370648384,0.0866213589906693,0.105347782373428,0.159832507371902,0.562071412801743,0.557528048753738
3939.79618700438,0.298425331711769,0.0100279748439789,0.283165380358696,0.771773874759674,0.295730292797089,0.0753698498010635,0.31093841791153,0.556331217288971,0.0109351128339767,0.220581084489822,0.223426997661591,0.400991380214691,0.253879994153976,0.317748010158539,0.357120603322983,0.0787367671728134,0.276021867990494,0.414659798145294,0.19932296872139,0.225835502147675,0.0325221568346024,0.1766097843647,0.321982145309448,0.160313695669174,0.521940559148788,0.361493647098541,0.00783482193946838,0.119010791182518,0.0859610885381699,0.104757532477379,0.157048255205154,0.554539501667023,0.553085833787918
3937.93251804358,0.297248318791389,0.00887759029865265,0.279268607497215,0.770262986421585,0.295931547880173,0.0757100135087967,0.308251142501831,0.556350484490395,0.012206107378006,0.220022797584534,0.221673727035522,0.400172770023346,0.252211540937424,0.317080795764923,0.357474535703659,0.0766713917255402,0.276295810937881,0.415222525596619,0.196343034505844,0.224417388439178,0.0332028120756149,0.17333048582077,0.322638675570488,0.159777373075485,0.521737962961197,0.355104506015778,0.0064941793680191,0.117556855082512,0.0824415236711502,0.102900713682175,0.154314026236534,0.545908778905869,0.547833293676376
