Wavelength_nm,AZURITE - GAMBOGE GA on Paper,AZURITE - GAMBOGE GA on Parchment,AZURITE - LEAD WHITE Glair on Paper,AZURITE - LEAD WHITE Glair on Parchment,AZURITE - LEAD WHITE GA on Paper,AZURITE - LEAD WHITE GA on Parchment,CARMINE - GAMBOGE GA on Paper,CARMINE - GAMBOGE GA on Parchment,CARMINE - LEAD WHITE GA on Paper,CARMINE - LEAD WHITE GA on Parchment,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,CINNABAR - LEAD TIN-YELLOW - LEAD WHITE GA on Paper,CINNABAR - LEAD TIN YELLOW - LEAD WHITE GA on Parchment,CINNABAR - LEAD WHITE Glair on Paper,CINNABAR - LEAD WHITE Glair on Parchment,CINNABAR - LEAD WHITE GA on Paper,CINNABAR - LEAD WHITE GA on Parchment,GAMBOGE - MALACHITE GA on Paper,GAMBOGE - MALACHITE GA on Parchment,GAMBOGE - VERDIGRIS GA on Paper,GAMBOGE - VERDIGRIS GA on Parchment,INDIGO - ORPIMENT GA on Paper,INDIGO - ORPIMENT GA on Parchment,LEAD TIN YELLOW - LEAD WHITE Glair on Paper,LEAD TIN YELLOW - LEAD WHITE Glair on Parchment,LEAD TIN YELLOW - LEAD WHITE GA on Paper,LEAD TIN YELLOW - LEAD WHITE GA on Parchment,MINIUM - LEAD TIN YELLOW Glair on Paper,MINIUM - LEAD TIN YELLOW Glair on Parchment,MINIUM - LEAD TIN YELLOW GA on Paper,MINIUM - LEAD TIN YELLOW GA on Parchment,MALACHITE - LEAD WHITE Glair on Paper,MALACHITE - LEAD WHITE Glair on Parchment,MALACHITE - LEAD WHITE GA on Paper,MALACHITE - LEAD WHITE GA on Parchment,SAFFRON - GAMBOGE GA on Paper,SAFFRON - GAMBOGE GA on Parchment,VERDIGRIS - LEAD WHITE Glair on Paper,VERDIGRIS - LEAD WHITE Glair on Parchment,VERDIGRIS - LEAD WHITE GA on Paper,VERDIGRIS - LEAD WHITE GA on Parchment
2849.58035,1.36133,1.39956,1.27166,1.26201,1.35547,1.41866,1.53386,1.45952,1.24264,1.13561,0.955943,1.1178,1.6385,1.36419,0.848311,0.882311,1.44469,1.43108,1.39628,1.32663,1.51609,1.3144,1.10192,1.29606,0.843845,1.1178,1.37474,1.16228,0.478428,0.842681,1.69585,1.2414,1.18247,1.0391,1.55739,1.40901,1.30851,1.4037,1.28281,1.48121,1.54857,1.47758
2851.094474,1.36879,1.39084,1.25881,1.27033,1.3601,1.43161,1.53294,1.45182,1.26072,1.12984,0.961381,1.11586,1.61391,1.35906,0.838156,0.888834,1.43888,1.41601,1.38356,1.33704,1.50805,1.30793,1.10191,1.2994,0.843799,1.11586,1.38149,1.16402,0.479855,0.845069,1.69041,1.23555,1.1683,1.03142,1.54199,1.4081,1.31126,1.42092,1.2684,1.46178,1.5465,1.46983
2852.610207,1.36685,1.37709,1.24468,1.26932,1.37229,1.43443,1.5311,1.44751,1.26849,1.1314,0.965859,1.1065,1.64013,1.3519,0.831092,0.888229,1.42149,1.39559,1.38365,1.34724,1.51065,1.29598,1.10514,1.29739,0.843351,1.1065,1.39272,1.16594,0.481721,0.846295,1.68453,1.22394,1.15639,1.02243,1.51391,1.40298,1.30855,1.43246,1.25188,1.45058,1.52784,1.47458
2854.127553,1.36018,1.36527,1.23892,1.26715,1.38733,1.4355,1.51896,1.45335,1.27052,1.14218,0.969003,1.10118,1.69921,1.34918,0.828396,0.883639,1.43508,1.38035,1.39455,1.35738,1.53027,1.29458,1.10576,1.29716,0.837625,1.10118,1.41013,1.16519,0.483907,0.848904,1.67829,1.22213,1.14612,1.01289,1.49855,1.40214,1.30606,1.45552,1.23456,1.44928,1.48895,1.49358
2855.646514,1.36059,1.35705,1.23698,1.26347,1.40021,1.43828,1.49233,1.4459,1.27148,1.15023,0.970728,1.09488,1.74056,1.35142,0.823538,0.876957,1.45416,1.37669,1.39572,1.36352,1.54617,1.29522,1.10902,1.29511,0.827526,1.09488,1.41905,1.16452,0.486093,0.851244,1.6684,1.22285,1.13517,1.00414,1.49572,1.40312,1.29989,1.47549,1.22754,1.43335,1.45459,1.48458
2857.167092,1.35846,1.35774,1.23299,1.25885,1.40753,1.45361,1.4875,1.43886,1.27226,1.15785,0.972786,1.09116,1.75105,1.36222,0.819122,0.870948,1.45212,1.3822,1.39426,1.37309,1.55492,1.30078,1.11591,1.29033,0.821435,1.09116,1.41795,1.16717,0.488301,0.854962,1.66405,1.23108,1.13127,0.998709,1.50049,1.40316,1.30453,1.49386,1.22529,1.42157,1.45448,1.46094
2858.689291,1.35201,1.3595,1.23543,1.252,1.41268,1.46426,1.50333,1.44886,1.26814,1.16559,0.971094,1.08519,1.75211,1.36494,0.816333,0.866328,1.43921,1.3803,1.39508,1.3717,1.57318,1.30061,1.11729,1.28546,0.817767,1.08519,1.41188,1.16517,0.490858,0.859938,1.68399,1.24243,1.13586,0.992357,1.50757,1.39829,1.30671,1.49683,1.21856,1.41152,1.4635,1.4438
2860.213113,1.34544,1.36461,1.24238,1.24755,1.43182,1.46335,1.52838,1.46103,1.27035,1.17324,0.969112,1.07907,1.76056,1.35975,0.817058,0.867686,1.45045,1.38451,1.40257,1.36981,1.59807,1.29272,1.11974,1.28938,0.814979,1.07907,1.41349,1.15917,0.493309,0.86664,1.73573,1.2518,1.14458,0.985966,1.51802,1.40298,1.30284,1.50008,1.21806,1.39873,1.46998,1.43948
2861.73856,1.33265,1.35839,1.24102,1.23894,1.44804,1.46073,1.5409,1.46077,1.26973,1.17276,0.968887,1.07427,1.73358,1.35754,0.816512,0.86877,1.46744,1.39189,1.40793,1.36899,1.60136,1.282,1.12462,1.28218,0.811985,1.07427,1.41283,1.15323,0.494334,0.870025,1.7612,1.25195,1.15166,0.97905,1.52172,1.401,1.30069,1.5087,1.21887,1.39073,1.46715,1.4352
2863.265635,1.32109,1.35199,1.24425,1.23145,1.45445,1.46766,1.56382,1.46872,1.26178,1.17395,0.967598,1.07304,1.71171,1.36947,0.817607,0.865778,1.4801,1.41989,1.41241,1.37791,1.60452,1.27701,1.13304,1.27332,0.809624,1.07304,1.4187,1.14722,0.494145,0.870635,1.76751,1.2463,1.15661,0.977724,1.55284,1.39594,1.30332,1.51877,1.22568,1.39711,1.46198,1.44337
