Label in GT,Category,Materials/binder,Pure/Mixture,Second component in mixtures,More mixted,Third component in mixtures,R,G,B
99,Pigment in mock-ups,Azurite - Egg white,mixture,Lead white - Egg white,,,75,200,210
100,Pigment in mock-ups,Lead-tin yellow - Egg white,mixture,Lead white - Egg white,,,193,173,83
101,Pigment in mock-ups,Malachite - Egg white,mixture,Lead white - Egg white,,,212,232,90
102,Pigment in mock-ups,Verdigris - Egg white,mixture,Lead white - Egg white,,,162,205,64
103,Pigment in mock-ups,Cinnabar - Egg white,mixture,Lead white - Egg white,,,231,82,108
104,Pigment in mock-ups,Grape black - Egg white,mixture,Lead white - Egg white,,,130,95,95
105,Pigment in mock-ups,Minium - Egg white,mixture,Lead-tin yellow - Egg white,,,183,133,90
106,Pigment in mock-ups,Cinnabar - Egg white,mixture,Lead-tin yellow - Egg white,mixture,Lead white - Egg white,231,185,130
107,Pigment in mock-ups,Carmine - Gum arabic,,,,,175,65,87
108,Pigment in mock-ups,Gamboge - Gum arabic,,,,,155,175,42
109,Pigment in mock-ups,Imperial yellow ink - Gum arabic,,,,,235,215,29
110,Pigment in mock-ups,Saffron - Gum arabic,mixture,Gamboge - Gum arabic,,,249,217,65
111,Pigment in mock-ups,Carmine - Gum arabic,mixture,Gamboge - Gum arabic,,,221,115,50
112,Pigment in mock-ups,Gamboge - Gum arabic,mixture,Azurite - Gum arabic,,,85,210,37
113,Pigment in mock-ups,Carmine - Gum arabic,mixture,Lead white - Gum arabic,,,215,105,127
114,Pigment in mock-ups,Indigo - Gum arabic,mixture,Orpiment - Gum arabic,,,37,99,53
115,Pigment in mock-ups,Gamboge - Gum arabic,mixture,Malachite - Gum arabic,,,17,139,86
116,Pigment in mock-ups,Gamboge - Gum arabic,mixture,Verdigris - Gum arabic,,,67,199,46
117,Pigment in mock-ups,Saffron - Gum arabic,,,,,251,197,5
118,Pigment in mock-ups,Saffron - no binder,,,,,231,177,25
119,Pigment in mock-ups,Saffron with alum - Gum arabic,,,,,157,112,45
120,Pigment in mock-ups,Macerated chambronera berries - no binder,,,,,40,79,17
121,Pigment in mock-ups,Macerated chambronera berries - Gum arabic,,,,,115,170,17
122,Pigment in mock-ups,Indigo - Gum arabic,,,,,35,57,91
249,,Material unknown 7,,,,,125,125,125
250,,Material unknown 6,,,,,25,25,25
251,,Material unknown 5,,,,,220,220,220
252,,Material unknown 4,,,,,190,190,190
253,,Material unknown 3,,,,,150,150,150
254,,Material unknown 2,,,,,100,100,100
255,,Material unknown 1,,,,,50,50,50
123,45gv45y,ole o,hh ,trh trh ,,,206,195,176
